No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
297	NEODATAVAL_STR_DT	DATE		3	2	네오데이터규격검사시작일(2) | 네오데이터규격검사 시작일(1)	네오데이터규격검사시작일	통일	표기변형/음차/영문누출 차이만
298	NEODATAVAL_END_DT	DATE		3	2	네오데이터규격검사종료일(2) | 네오데이터규격검사 종료일(1)	네오데이터규격검사종료일	통일	표기변형/음차/영문누출 차이만
299	SDIV	VARCHAR2	1	3	3	인계인수구분(1) | 인수인계 구분(1) | 인계인수구분( [RG051]  0:해당없음, 1:인수, 2:인계)(1)	인계인수구분	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
300	PROCESS_DT	DATE		3	2	처리일자(2) | 프로세스일시(1)	처리일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
301	ERROR_TYPE	VARCHAR2	500	3	2	오류유형(2) | 오류유형내용(1)	오류유형	통일	코멘트 포함관계(수식어 가감)
302	ERROR_POINT	VARCHAR2	500	3	2	오류포인트(2) | ERROR_POINT(1)	오류포인트	통일	표기변형/음차/영문누출 차이만
303	DET_NO	NUMBER	3	3	2	건번호(2) | DET번호(1)	건번호	통일	표기변형/음차/영문누출 차이만
304	MEDIA_TYPE	VARCHAR2	2	3	2	서고배치형태(SV099)(2) | 매체구분(1)	서고배치형태(SV099)	분리?	핵심명사 상이: 서고배치형태 / 매체구분
305	TDSID	VARCHAR2	12	3	2	임시세부목록SID(2) | 임시기록물 건번호(1)	임시세부목록SID	분리?	핵심명사 상이: 임시세부목록SID / 임시기록물건번호
306	SKL_DIV_SYS	VARCHAR2	1000	3	2	기능분류체계(2) | SKLDIV시스템(1)	기능분류체계	통일	표기변형/음차/영문누출 차이만
307	ORGAN_YN	VARCHAR2	1	3	2	기관여부(2) | 조직여부(1)	기관여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
308	SEND_DIV	VARCHAR2	2	3	2	통보구분(2) | 전송구분(1)	통보구분	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
309	RM_ORG_DIV	VARCHAR2	2	3	2	기록관리기관구분(2) | 기록관리기관구분(SP016)(1)	기록관리기관구분	통일	표기변형/음차/영문누출 차이만
310	CREATE_DT	DATE		3	2	제정일(2) | 제정일자(1)	제정일	통일	코멘트 포함관계(수식어 가감)
311	FILE_PAT_COD	VARCHAR2	3	3	2	파일PAT코드(2) | 파일유형코드(1)	파일PAT코드	통일	표기변형/음차/영문누출 차이만
312	LANG_DIV	VARCHAR2	2	3	2	언어(2) | 언어구분(1)	언어	통일	코멘트 포함관계(수식어 가감)
313	INSPEC_ITEM_CD	VARCHAR2	2	3	2	조사항목코드(2) | 보존조치유형(SV067)(1)	조사항목코드	분리?	핵심명사 상이: 조사항목코드 / 보존조치유형
314	PAPER_NO	VARCHAR2	12	3	2	페이퍼번호(2) | 복제본번호(1)	페이퍼번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
315	TRANS_METHOD	VARCHAR2	120	3	2	수집이관방법(2) | 변환메서드(1)	수집이관방법	분리?	핵심명사 상이: 수집이관방법 / 변환메서드
316	MEDIA_SEQNO	VARCHAR2	10	3	2	매체등록일련번호(2) | 해외매체등록일련번호(1)	매체등록일련번호	통일	코멘트 포함관계(수식어 가감)
