구분	영문약어	단어명	스키마등장수	비고
사전only	CMDL	명령어	0	스키마 미사용
사전only	CMDTY	물품	0	스키마 미사용
사전only	CMNT	댓글	0	스키마 미사용
사전only	CMP	컴포넌트	0	스키마 미사용
사전only	CMPS	구성	0	스키마 미사용
사전only	CMPTNC	관할	0	스키마 미사용
사전only	CMPTTN	산정	0	스키마 미사용
사전only	CMS	CMS	0	스키마 미사용
사전only	CNBD	집합건물	0	스키마 미사용
사전only	CNCH	한문	0	스키마 미사용
사전only	CNCLTN	해지	0	스키마 미사용
사전only	CNCN	집중	0	스키마 미사용
사전only	CNO	련번호	0	스키마 미사용
사전only	CNOR	관계기관	0	스키마 미사용
사전only	CNOV	통권	0	스키마 미사용
사전only	CNPT	거래처	0	스키마 미사용
사전only	CNTOM	대수	0	스키마 미사용
사전only	CNTR	센터	0	스키마 미사용
사전only	CNTRL	통제	0	스키마 미사용
사전only	CO	회사	0	스키마 미사용
사전only	COMP	압축	0	스키마 미사용
사전only	COMT	통신	0	스키마 미사용
사전only	CONM	상호	0	스키마 미사용
사전only	CONTS	콘텐츠	0	스키마 미사용
사전only	CONV	소집	0	스키마 미사용
사전only	COPP	코트지	0	스키마 미사용
사전only	COPY	복본	0	스키마 미사용
사전only	CORP	법인	0	스키마 미사용
사전only	CPLR	완료자	0	스키마 미사용
사전only	CPSR	작곡자	0	스키마 미사용
사전only	CPTL	자본금	0	스키마 미사용
사전only	CR	직업	0	스키마 미사용
사전only	CRCD	신용카드	0	스키마 미사용
사전only	CRCLM	교육과정	0	스키마 미사용
사전only	CRDN	단속	0	스키마 미사용
사전only	CRDTR	채권자	0	스키마 미사용
사전only	CREATR	생성자	0	스키마 미사용
사전only	CREC	비밀기록물	0	스키마 미사용
사전only	CRL	인증서폐기목록	0	스키마 미사용
사전only	CRNO	법인등록번호	0	스키마 미사용
사전only	CRNR	코너	0	스키마 미사용
사전only	CRS	과정	0	스키마 미사용
사전only	CRTFCT	자격증	0	스키마 미사용
사전only	CSE	사안	0	스키마 미사용
사전only	CSTD	보관	0	스키마 미사용
사전only	CSTRN	공사	0	스키마 미사용
사전only	CSVT	보존처리	0	스키마 미사용
사전only	CT	법원	0	스키마 미사용
사전only	CTCMT	유의사항	0	스키마 미사용
사전only	CTFA	인증기관	0	스키마 미사용
사전only	CTFS	인증서주체	0	스키마 미사용
사전only	CTGRY	범주	0	스키마 미사용
사전only	CTNR	용기	0	스키마 미사용
사전only	CTNT	목차	0	스키마 미사용
사전only	CTOY	카테고리	0	스키마 미사용
사전only	CTPV	시도	0	스키마 미사용
사전only	CTRB	기증	0	스키마 미사용
사전only	CTRT	계약	0	스키마 미사용
사전only	CTST	공모	0	스키마 미사용
사전only	CTY	도시	0	스키마 미사용
사전only	CUST	고객	0	스키마 미사용
사전only	CVLCPT	민원	0	스키마 미사용
사전only	CVLPR	민원인	0	스키마 미사용
사전only	DACD	탈산	0	스키마 미사용
사전only	DACDR	탈산실	0	스키마 미사용
사전only	DADDR	상세주소	0	스키마 미사용
사전only	DAGR	비동의	0	스키마 미사용
사전only	DBTR	채무자	0	스키마 미사용
사전only	DCL	신고자	0	스키마 미사용
사전only	DCLR	신고	0	스키마 미사용
사전only	DCLSF	세분류	0	스키마 미사용
사전only	DCMNT	서류	0	스키마 미사용
사전only	DCSD	사망자	0	스키마 미사용
사전only	DCSN	결정	0	스키마 미사용
사전only	DDC	공제	0	스키마 미사용
사전only	DDLN	마감	0	스키마 미사용
사전only	DELM	기술요소	0	스키마 미사용
