영문약어	빈도	사전등록	사전단어명	한글후보_단일컬럼	샘플컬럼
PLC	13	Y	장소		object_taget_data.phtg_plc; tb_adarchivalobj.prsr_plc
ARNGMT	13	Y	정리		object_taget_data.arngmt_desc; tb_dftkovfolderlist.arngmt_yn
IPADR	13	Y	IP주소		tb_batchworkhist.link_srvr_ipadr; tb_batchworkqueue.link_srvr_ipadr
APRTN	13	Y	책정		tb_crfolder.prsr_pd_aprtn_rsn; tb_dfdscdhist.prsr_pd_r_aprtn_ymd
ONE	13	Y	1		tb_crspcllist.one_spcl_list; tb_gvrnprdl.dst_rsn_one
THRE	13	Y	3		tb_crspcllist.thre_spcl_list; tb_gvrnprdl.dst_rsn_thre
MBRC	13	Y	위원		tb_dfdscdevl.dlbr_mbrc_id; tb_dfdscdevl.dlbr_mbrc_evl_se_cd
MF	13	Y	MF		tb_dfdscdopnn.mf_stts_idnty_yn; tb_mgfolder.mf_phtg_stts_cd
DSGN	13	Y	지정		tb_dfdscdopnn.group_dsgn_yn; tb_rcacptnfolderlist.hold_trdv_dsgn_yn
RM	13	Y	기록관리		tb_dfdscdopnn.ntn_rm_cmit_evl_opnn_cd; tb_dfdscdopnn.ntn_rm_cmit_rsrv_pd_cd
DMG	13	Y	훼손		tb_mgfolder.dmg_yn; tb_mgfolder.dmg_cn
TMPR	13	Y	임시		tb_rsrvdoc.tmpr_se_no; tb_rsrvdoc.tmpr_frst_se
API	13	Y	API		tb_stconfig.link_api_srvr_ip; tb_stconfig.link_api_srvr_potno
MMT	12	Y	시기		object_taget_data.rls_mmt; tb_crrecord.rls_mmt
EXCSS	12	Y	부설		object_taget_data.excss_yn; tb_dfexcursus.excss_seq
ADAF	12	Y	행정박물		tb_adarchival_dst.adaf_id; tb_adarchival_dst.adaf_dst_sn
NOW	12	Y	현재		tb_adarchivalobj.now_hold_ecnt; tb_dfdscdopnn.now_prsr_pd_cd
HGHRK	12	Y	최상위		tb_crntfctnfile.hghrk_rctr_yn; tb_stdept.hghrk_ognz_cd
COLM	12	Y	열		tb_mgbksh.bksh_colm_cnt; tb_mgbkshdposdtl.bksh_colm_no
RDR	12	Y	열람자		tb_rdotherprslreq.rdr_id; tb_rdotherprslreq.rdr_nm
TAG	12	Y	태그		tb_rftabpub.tag_id; tb_rftabpub.tag_issu_trdv_cd
UP	12	Y	상위		tb_stdept.up_ognz_cd; tb_stmenu.up_menu_id
RCVR	11	Y	수신자	수신자(5)	object_taget_data.rcvr; tb_crrecord.rcvr
RMV	11	Y	해제		object_taget_data.sret_rmv_pbrc_prsr_pstn; tb_rddscdphbtappoint.dscd_phbt_rmv_pic_dept_nm
OFDC	11	Y	공문서		tb_rsrvdoc.ofdc_prsr_pd_clsf_crtr; tb_rsrvdoc.ofdc_prsr_pd_prmn_thea
MTG	11	Y	회의		tb_rdrecordmeeting.mtg_nm; tb_rdrecordmeeting.mtg_plc
PSTG	11	Y	게시		tb_stattachfile.pstg_seq; tb_stattachfile.pstg_se
LEV	11	Y	레벨		tb_stdept.inst_lev_cycl; tb_stmenu.menu_authrt_lev
CTFE	11	Y	인증서	인증서(2)	tb_stformatpki.ctfe; tb_stformatpki.ctfe_usg
