x	y	text
976	64	외국기록물생산국가
1017	64	통계건수25
1032	64	통계건수26
484	65	검토의견
449	65	키워드구분(SV112)
625	65	최상위기관명
692	65	총독문서분류코드 (FK)
199	65	사업명
553	65	공문서분류명
780	65	기록관책정사유
858	65	순번
997	65	기관구분코드
222	65	최종수정일시
247	65	인수인계_처리기관코드
315	65	생산시작년도__22736
404	65	최종수정일시
469	65	최초등록자ID
273	65	생산등록번호
349	65	보존이력CLOB
367	65	비고
386	65	FST_REGR_ID
501	65	공개재분류자ID
520	65	공개재분류자ID
642	66	보존기간책정일자
656	66	보존기간처리상태
484	66	검토비공개대상정보
673	66	제3특수목록
812	66	파일고유번호
939	66	통계건수26
953	66	통계건수27
976	66	외국기록물생산국가명
1017	66	통계건수26
1032	66	통계건수27
449	66	키워드순번
625	66	삭제여부
692	66	총독문서기록종류코드
199	66	작성일자명
430	66	기본목록SID
553	66	임시분류번호
780	66	기록관검토의견
162	66	접수일자
222	66	최종수정자ID
404	66	기록물구분
469	66	최초등록일시
858	66	SBJ_SKL_PAT
997	66	생산년도(종료년도)
247	66	인수인계_단위업무코드
315	66	단위업무_22737
743	66	신청결과구분
273	67	구기록물문서번호
349	67	수집이관이력CLOB
367	67	최초등록자ID
386	67	FST_REG_DT
520	67	공개재분류일시
642	67	보존기간책정사유
656	67	보존기간책정일자
673	67	단위업무상태
939	67	통계건수27
953	67	통계건수28
976	67	민간기록물구분
1017	67	통계건수27
1032	67	통계건수28
484	67	생산기관의견일시
578	67	공문서순번
897	67	기록물종류코드
625	67	과제인수여부
692	67	총독문서기록분류명
199	67	제목
430	67	이력일련번호
553	67	단위업무별기능
780	67	법적근거
858	67	단위과제명
454	67	SID
162	68	인수자
222	68	XML 등록진행상태
247	68	인수인계_생산년도
315	68	기록물철등록일련번호_22738
404	68	기록물종류
469	68	최종수정자ID
743	68	단위생산년도
422	68	SID
273	68	분리등록번호_첨부번호
812	68	파일등록아이디
876	68	통합기록분류코드
349	68	공개조건내용2
367	68	최초등록일시
386	68	LST_UPDR_ID
501	68	이전공개구분
520	68	수정자ID
642	68	간행물여부
656	68	보존기간책정사유
484	68	문서번호
673	68	단위업무심사번호
897	68	기술영역코드
939	68	통계건수28
953	68	통계건수29
976	68	민간기록물명
997	68	통계건수1
1017	68	통계건수28
1032	68	통계건수29
625	68	과제연계일자
692	68	시대분야
199	69	보존기간
553	69	조기호표
780	69	단위과제설명
162	69	최초등록일시
222	69	XML 파싱의뢰 검사키
404	69	기록물유형
469	69	최종수정일시
858	69	UNT_SBJ_SUMM
454	69	SID
247	69	인수인계_기록물철등록일련번호
315	69	권호수__22742
743	69	처리과코드
578	69	공문서번호
812	69	기준년도ID (FK)
349	69	공개조건내용
367	69	최종수정자ID
386	69	LST_UPD_DT
501	69	이전공개제한유형
520	69	수정일시
430	69	기록물분류구분
642	69	간행물발간주기
656	69	간행물여부
673	69	단위작업일시
939	69	통계건수29
953	69	통계건수30
976	69	생산년도
997	69	통계건수2
1017	69	통계건수29
1032	69	통계건수30
484	70	생산기관의견
449	70	키워드명
625	70	비고
692	70	내용설명
199	70	내용요약
553	70	보존영구기록
780	70	핵심업무
876	70	분류체계구분ID
858	70	생산년도
162	70	최초등록자ID
222	70	END FILE NM
247	70	인수인계_권호수
315	70	최초등록일시
404	70	기록물세부유형
743	70	과제기능유형
273	70	쪽수
812	70	기관여부
897	70	기술영역명
578	70	공문서분류명
762	70	접수ID
349	71	임시저장여부
367	71	최종수정일시
386	71	PRODYEAR_DIV
501	71	이전공개재분류자ID
520	71	공개제한사유_ _37975
430	71	기술분류ID
642	71	인수여부
656	71	간행물발간주기
484	71	심의회일시
673	71	단위작업자ID
939	71	통계건수30
976	71	수집년도
997	71	통계건수3
1017	71	통계건수30
418	71	최초등록자
449	71	최초등록자ID
625	71	최초등록자ID
692	71	비고
199	71	비고
553	71	보존준영구기록
780	71	비밀분류
162	71	최종수정일시
222	71	접수일자
858	71	처리과코드
247	71	인수인계일자
315	71	최초등록자ID
743	71	기능별단계
273	72	결제권자
578	72	임시분류번호
812	72	기관별준칙년도고유번호 (FK)
897	72	차수
367	72	년도미확정구분(SV130)
386	72	OPEN_CONDITION_CLOB
501	72	이전공개재분류일시
430	72	임시보관함ID
642	72	연결작업일시
656	72	인수여부
673	72	단위게시일시
976	72	생산기관명
997	72	통계건수4
1017	72	통계건수31
484	72	심의회결과
449	72	최초등록일시
625	72	최초등록일시
692	72	최초등록자ID
199	72	생산형태종류
418	72	최초등록일시
553	72	보존10년기록
780	72	사용자열람범위
762	72	접수일시
858	72	OBJ_ST_DT
109	73	접수년도 (FK)
162	73	최종수정자ID
222	73	접수방법
247	73	내용요약정보
315	73	최종수정일시
273	73	기안자_업무담당자
897	73	담당자ID
578	73	단위업무별기능
367	73	공개조건내용2
386	73	PUBLISH_INFO_CLOB
501	73	최초등록자ID
430	73	작업일시
642	73	수행주체
656	73	연결작업일시
484	73	검토결과
673	73	비고
976	73	보존기간
997	73	통계건수5
1017	73	통계건수32
418	74	최종수정자
625	74	최종수정자ID
692	74	최초등록일시
876	74	보존기간코드
199	74	최초등록일시
553	74	보존5년기록
780	74	공개여부
109	74	생산현황서식구분 (FK)
222	74	통보일자
762	74	생산년도
858	74	OBJ_ED_DT
455	74	ID
247	74	기록물상태구분
315	74	최종수정자ID
743	74	기능분류명
273	74	시행일자
897	74	생성일자
367	74	출판정보내용2
386	74	OPEN_CONDITION
578	74	보존기간기술
430	74	작업자ID
642	74	연령
656	74	수행주체
673	74	최초등록자ID
838	74	기준년도ID
976	74	보존기간순서
997	74	통계건수6
1017	74	통계건수33
484	75	확정비공개대상정보
625	75	최종수정일시
692	75	최종수정자ID
199	75	최초등록자ID
418	75	최종수정일시
553	75	보존3년기록
780	75	카드비치여부
876	75	사용여부
762	75	처리과코드
858	75	SKL_DIV_SYS
109	75	처리기관코드 (FK)
247	75	보존분류오류여부
315	75	기록물철분류번호(수정후)
743	75	상위기능분류코드
