size	x	y	text
1.3	729	515	변환요청 공동 테이블
1.3	760	516	보존_종이기록물복제처리서내역
1.3	847	516	K2_QUEUE_TABLE_BAK
1.3	872	516	원문다운로드스케줄관리
1.3	786	517	복제-종이기록물
1.3	259	518	의뢰/인수목록(SV)
1.3	895	518	원문다운로드요청기본목록
1.3	283	518	의뢰/인수이력(SV)
1.3	241	518	미반입내역(SV)
1.3	655	518	철상태평가조사표(SV)
1.3	674	518	건상태평가조사표(SV)
1.3	831	519	코난증분색인내역
1.3	922	519	불복구제신청(US)
1.3	941	520	비공개제한열람신청(US)
1.3	980	521	유형별청구정보
1.3	1056	522	국가기록포털연계데이터세부목록(일일생성)
1.3	960	522	정보공개청구서
1.3	1005	522	열람신청목록(US)
1.3	302	523	의뢰/인수목록이력(SV)
1.3	422	525	원문디지털화요청내역(SV)
1.3	475	527	디지털화파일(SV)
1.3	391	529	기록물변경목록MAM시스템전송내역
1.3	846	529	검색엔진증분색인용큐_NEW
1.3	458	529	동영상파일(SV)
1.3	114	536	UCI_포탈전송세부목록
1.3	133	536	UCI_포탈전송기본목록
1.3	704	537	변환서버 기관코드별 처리
1.3	1056	537	국가기록포털연계데이터기본목록(일일생성)
1.3	894	538	원문다운로드요청세부목록
1.3	980	539	열람기록물정보
1.3	240	541	의뢰/인수목록 이관매체
1.3	674	541	건상태평가조사내역(SV)
1.3	261	542	의뢰/인수(SV)
1.3	707	544	변환서버 모니터링
1.3	733	547	날짜포맷기준정보내역
1.3	304	548	의뢰/인수복제M/F목록(SV)
1.3	392	548	시청각기록물MAM연계요청내역
1.3	424	548	앨범상자편성내역(SV)
1.3	846	550	TIF대용량다운로드로그(SM)
1.3	830	551	MF수록대장(US)
1.3	477	553	대표화면(SV)
1.3	1062	553	기록물철개인정보필터링 정보
1.3	705	555	변환요청 대상 파일
1.3	655	555	철상태평가조사내역(SV)
1.3	871	557	원문다운로드ZIP파일관리
1.3	980	557	결재상신
1.3	325	559	의뢰/인수매체이전목록(SV)
1.3	733	559	변환서버작업상태모니터링
1.3	760	560	보존_종이기록물복제처리서상세
1.3	674	561	철상태평가조사표(개정)(SV)
1.3	426	561	앨범상자(SV)
1.3	894	561	원문다운로드대상파일관리
1.3	240	562	의뢰/인수목록 해외매체
1.3	1063	566	기록물건개인정보필터링 정보
1.3	846	571	기록물작업로그(SM)
1.3	981	571	사용자_결재
1.3	184	571	서고시뮬레이션
1.3	197	571	시뮬레이션 대상기록물
1.3	306	574	의뢰/인수DVD목록(SV)
1.3	282	578	의뢰/인수보존매체목록(SV)
1.3	421	579	매체이전정보(SV)
1.3	437	579	매체이전내역(SV)
1.3	487	579	장기보존매체수록목록(SV)
1.3	470	580	매체이전 정수점검리스트
1.3	507	580	DVD서고배치내역(SV)
1.3	526	580	DVD 정수점검리스트
1.3	653	581	철상태평가조사내역(개정)(SV)
1.3	1063	581	홈페이지 연계 건 오류 목록
1.3	830	586	워터마크다운로드내역
1.3	674	587	철상태평가보존처리요청(SV)
1.3	191	593	시뮬레이션 대상서고
1.3	981	593	열람신청반출의뢰(US)
1.3	306	594	의뢰/인수M/F목록(SV)
1.3	962	595	US_표준매타코드
1.3	1063	599	홈페이지 연계 철 오류 목록
1.3	836	601	지적/임야원도 검색 로그 테이블
1.3	266	661	KH_ISAARPASTRELATION
1.3	395	664	의뢰/인수목록(OD복제)
1.3	427	664	의뢰/인수미디어목록(SV)
1.3	454	664	이송OD복제 입고내역
1.3	301	665	KH_ISAAROPERATIONDATE
1.3	244	665	KH_ISAARRELATION
1.3	217	666	KH_ISAARUPPERRELATION
1.3	500	668	국가기록물지정신청(PL)
1.3	520	668	지정대상조사_심의(PL)
1.3	541	668	국가기록물지정(PL)
1.3	562	668	지정기록물사후관리(PL)
1.3	113	669	대용량스캐닝다운로드작업(SV)
1.3	158	670	스캐닝파일변환작업(SV)
1.3	136	671	대용량스캐닝작업큐(SV)
1.3	695	671	전시관방문기록(SP)
1.3	581	672	지정사후관리첨부파일정보(PL)
1.3	318	674	KH_ISAAROPERATION
1.3	291	674	KH_ORGALIAS
1.3	671	675	전시관(SP)
1.3	1048	675	기록관리기관 시설장비기준(SP)
1.3	1020	676	기관별 시설장비현황통보(SP)
1.3	269	677	전거_국제표준기관기본
1.3	718	681	종사인력및전문인력배치현황(SP)
1.3	860	681	교육과정(SP)
1.3	887	681	강사학력(SP)
1.3	906	681	기록관서고장비현황
1.3	923	681	기록관리표준게시판내역
1.3	959	682	기록관리표준업무작업스케줄내역
1.3	741	682	시스템연동현황(SP)
1.3	943	682	기관구분별기관(SP)
1.3	354	682	KH_OMISSIONDESC
1.3	210	682	KH_ISAARORGSOURCE
1.3	756	683	외국국가기록기관(SP)
1.3	779	683	협정체결(SP)
1.3	797	683	위원추천POOL(SP)
1.3	814	683	위원(SP)
1.3	829	683	위원회(SP)
1.3	845	683	위원회활동(SP)
1.3	626	683	전시물(SP)
1.3	985	685	기관별 시설장비현황결과 통계(SP)
1.3	651	685	전시(SP)
1.3	696	686	전시관담당자(SP)
1.3	397	687	OD복제 미반입내역
1.3	430	688	M/F 미반입내역
1.3	455	688	이관매체 미반입내역
1.3	343	688	KH_ISAARFUNC
1.3	215	691	KH_ORGDETAILTYPE
1.3	328	692	KH_ORGSYNONYM
1.3	142	693	기록물보존매체기본정보(전자기록물복구시스템)
1.3	231	693	전거_국제표준기관주소내역
1.3	113	693	저장매체장비정보(전자기록물복구시스템)
1.3	683	693	전시관이력(SP)
1.3	308	697	전거_국제표준기관규칙상세
1.3	247	703	전거_국제표준기관대표자내역
1.3	843	704	위원학력(SP)
1.3	877	705	과정별과목/강사(SP)
1.3	892	705	강사POOL(SP)
1.3	286	705	KH_ISAARSUBDESCRIPTION
1.3	719	705	행사참여자(SP)
1.3	738	705	행사(SP)
1.3	816	705	위원경력(SP)
1.3	541	706	국가기록물지정해제(PL)
1.3	756	707	생산시스템현황(SP)
1.3	567	708	지정해제첨부파일정보(PL)
1.3	983	709	기록관리표준업무기본
1.3	667	710	협력회사(SP)
1.3	683	711	자료(SP)
