size	x	y	font	text
1.2	513	278	Gulim	영구보존포맷변환여부
1.2	292	279	Gulim	버전
1.2	181	279	Gulim	이관년도
1.2	181	280	Gulim	이관번호
1.2	888	281	Gulim	접근권한코드
1.2	1010	281	Gulim	기본목록
1.2	292	281	Gulim	파일명사본
1.2	181	282	Gulim	이관기본목록
1.2	907	282	Gulim	화면
1.2	888	282	Gulim	화면
1.2	292	283	Gulim	첨부파일쪽수
1.2	181	283	Gulim	세부목록
1.2	430	283	Gulim	인수년도
1.2	292	284	Gulim	첨부파일종류코드
1.2	841	284	Gulim	사용자
1.2	907	284	Gulim	프로그램
1.2	888	284	Gulim	등록
1.2	243	284	Gulim	이관목록인계
1.2	1010	284	Gulim	기록물상태
1.2	430	285	Gulim	인수서일련번호
1.2	181	285	Gulim	최초등록일시
1.2	292	285	Gulim	저장매체
1.2	888	285	Gulim	조회
1.2	907	285	Gulim	프로그램명
1.2	430	286	Gulim	기본목록
1.2	841	286	Gulim	사용자암호
1.2	181	286	Gulim	최초등록자
1.2	922	286	Gulim	메뉴
1.2	244	286	Gulim	이관년도
1.2	292	286	Gulim	저장패스명
1.2	907	286	Gulim	프로그램설명
1.2	888	286	Gulim	수정
1.2	869	287	Gulim	사용자
1.2	618	287	Gulim	기본목록
1.2	841	287	Gulim	이전암호
1.2	181	287	Gulim	최종수정일시
1.2	244	287	Gulim	이관일련번호
1.2	363	287	Gulim	등록일련번호
1.2	696	287	Gulim	기본목록
1.2	292	288	Gulim	해쉬알고리즘
1.2	907	288	Gulim	시스템
1.2	888	288	Gulim	삭제
1.2	869	288	Gulim	접근권한코드
1.2	618	288	Gulim	세부목록
1.2	389	288	Gulim	등록일련번호
1.2	922	288	Gulim	시스템
1.2	841	288	Gulim	사용자명
1.2	181	289	Gulim	최종수정자
1.2	696	289	Gulim	세부목록
1.2	292	289	Gulim	해쉬값
1.2	363	289	Gulim	관계자일련번호
1.2	907	289	Gulim	호출레벨
1.2	888	289	Gulim	비고
1.2	591	289	Gulim	삭제일자
1.2	389	289	Gulim	건번호
1.2	922	289	Gulim	상위메뉴
1.2	1010	289	Gulim	변경일시
1.2	244	290	Gulim	접수일자
1.2	841	290	Gulim	소속계급코드
1.2	181	290	Gulim	샘플링구분
1.2	869	290	Gulim	비고
1.2	292	290	Gulim	이관철
1.2	907	290	Gulim	호출커맨드명
1.2	888	290	Gulim	최초등록자
1.2	922	291	Gulim	메뉴명
1.2	244	291	Gulim	인계자소속
1.2	696	291	Gulim	대통령명
1.2	841	291	Gulim	직급코드
1.2	181	291	Gulim	검수담당자
1.2	869	291	Gulim	최초등록자
1.2	292	291	Gulim	육안검사자
1.2	907	291	Gulim	상위프로그램
1.2	888	291	Gulim	최초등록일시
1.2	414	292	Gulim	상위분류코드등록번호
1.2	922	292	Gulim	메뉴레벨
1.2	244	292	Gulim	인계자직위
1.2	696	292	Gulim	사진일자
1.2	841	292	Gulim	사용자주민등록번호
1.2	181	292	Gulim	검수여부
1.2	869	292	Gulim	최초등록일시
1.2	292	293	Gulim	오류여부
1.2	907	293	Gulim	메뉴
1.2	888	293	Gulim	최종수정자
1.2	922	293	Gulim	호출여부
1.2	971	293	Gulim	기록물관리번호
1.2	244	293	Gulim	인계자이름
1.2	696	293	Gulim	촬영장소
1.2	701	293	Gulim	배경장소
1.2	841	293	Gulim	사용자구분
1.2	181	294	Gulim	육안검수오류코드
1.2	869	294	Gulim	최종수정자
1.2	292	294	Gulim	오류유형
1.2	907	294	Gulim	프로그램순번
1.2	888	294	Gulim	최종수정일시
1.2	922	294	Gulim	호출커맨드명
1.2	244	295	Gulim	인수자소속
1.2	696	295	Gulim	사진설명
1.2	841	295	Gulim	원문접근여부
1.2	869	295	Gulim	최종수정일시
1.2	292	295	Gulim	오류상세내역
1.2	907	295	Gulim	권한별제공코드
1.2	922	296	Gulim	메뉴설명
1.2	244	296	Gulim	인수자직위
1.2	841	296	Gulim	비공개접근권한
1.2	292	296	Gulim	육안검사일자
1.2	907	296	Gulim	화면존재여부
1.2	767	296	Gulim	매체관리번호
1.2	922	297	Gulim	비고
1.2	244	297	Gulim	인수자이름
1.2	841	297	Gulim	그룹조직코드
1.2	292	298	Gulim	고유파일명
1.2	907	298	Gulim	비고
1.2	513	298	Gulim	기술분류
1.2	922	298	Gulim	최초등록자
1.2	244	298	Gulim	인수일자
1.2	841	298	Gulim	보존시설코드
1.2	431	299	Gulim	분류등록일련번호
1.2	292	299	Gulim	파일추출그룹번호
1.2	907	299	Gulim	최초등록자
1.2	922	299	Gulim	최초등록일시
1.2	244	300	Gulim	자료관코드
1.2	841	300	Gulim	수행업무
1.2	294	300	Gulim	추출문서구분명
1.2	907	300	Gulim	최초등록일시
1.2	922	301	Gulim	최종수정자
1.2	244	301	Gulim	통보상태구분
1.2	292	301	Gulim	기계검수실시여부
1.2	907	301	Gulim	최종수정자
1.2	922	302	Gulim	최종수정일시
1.2	513	302	Gulim	상자구분
1.2	244	302	Gulim	통보방법
1.2	791	302	Gulim	매체구분
1.2	292	303	Gulim	기계검수실시일시
1.2	907	303	Gulim	최종수정일시
1.2	922	303	Gulim	사용자
1.2	244	303	Gulim	생산기록물기관상태구분
1.2	292	304	Gulim	기계검수오류여부
1.2	244	305	Gulim	접수처시스템구분
1.2	841	305	Gulim	승인여부
1.2	292	305	Gulim	기계검수오류유형코드
1.2	363	305	Gulim	등록일련번호
1.2	244	306	Gulim	오류내역
1.2	889	306	Gulim	접근권한코드
1.2	841	306	Gulim	승인자
1.2	292	306	Gulim	기계검수오류상세내용
1.2	363	307	Gulim	건번호
1.2	244	307	Gulim	헤더파일명
1.2	841	307	Gulim	신규여부
1.2	292	308	Gulim	기계검수식별검증상세내용
1.2	363	308	Gulim	구성자료일련번호
1.2	889	308	Gulim	접근권한명
1.2	841	308	Gulim	비고
1.2	292	309	Gulim	보존포맷변환여부
1.2	389	309	Gulim	등록일련번호
1.2	889	309	Gulim	업무권한코드
1.2	244	310	Gulim	최초등록일시
1.2	595	310	Gulim	기본목록
1.2	841	310	Gulim	최초등록자
1.2	448	310	Gulim	인계년도
1.2	292	310	Gulim	보존포맷변환실패원인
1.2	889	310	Gulim	접근권한내용
1.2	244	311	Gulim	최초등록자
1.2	595	311	Gulim	세부목록
1.2	841	311	Gulim	최초등록일시
1.2	293	311	Gulim	차품질검사오류여부
1.2	448	311	Gulim	인계년도일련번호
1.2	889	312	Gulim	시스템
1.2	867	312	Gulim	그룹조직코드
1.2	244	312	Gulim	최종수정일시
1.2	841	312	Gulim	최종수정자
1.2	293	313	Gulim	차품질검사오류유형코드
1.2	321	313	Gulim	기본목록
1.2	889	313	Gulim	비고
1.2	244	313	Gulim	최종수정자
1.2	841	314	Gulim	최종수정일시
1.2	293	314	Gulim	차품질검사오류유형코드
1.2	867	314	Gulim	그룹조직명
1.2	321	314	Gulim	세부목록
1.2	595	314	Gulim	성명
1.2	889	314	Gulim	최초등록자
1.2	244	315	Gulim	접수일자
1.2	841	315	Gulim	사용여부
1.2	293	315	Gulim	차품질검사오류내용
1.2	867	315	Gulim	그룹조직서열
1.2	889	315	Gulim	최초등록일시
1.2	244	316	Gulim	접수방법
1.2	841	316	Gulim	목록접근권한
1.2	293	317	Gulim	차품질검사오류내용
1.2	867	317	Gulim	그룹조직레벨
1.2	889	317	Gulim	최종수정자
1.2	244	317	Gulim	통보일자
1.2	841	317	Gulim	업무권한코드
1.2	292	318	Gulim	파일스토리지경로
1.2	867	318	Gulim	상위조직코드
1.2	889	318	Gulim	최종수정일시
1.2	244	318	Gulim	기록물가등록번호이관년도
1.2	841	319	Gulim	전체기관접근권한여부
1.2	292	319	Gulim	문서오류조치불가여부
1.2	867	319	Gulim	그룹업무서비스
1.2	244	320	Gulim	기록물가등록번호이관일련번호
1.2	841	320	Gulim	조직코드
1.2	292	320	Gulim	문서오류조치불가사유
1.2	867	320	Gulim	행정기관코드
1.2	244	321	Gulim	품질검사상태구분
1.2	841	321	Gulim	사용자이메일
1.2	292	322	Gulim	비전자붙임문서확인여부
1.2	867	322	Gulim	사용여부
1.2	873	322	Gulim	사용
1.2	876	322	Gulim	미사용
1.2	244	322	Gulim	품질검사오류여부
1.2	912	322	Gulim	접근권한코드
1.2	841	322	Gulim	사용자전화번호
1.2	867	323	Gulim	적용기준일자
1.2	246	323	Gulim	값
1.2	912	323	Gulim	화면
1.2	841	324	Gulim	접근권한접수번호
1.2	867	324	Gulim	적용종료일자
1.2	889	325	Gulim	소속부서코드
1.2	912	325	Gulim	제한화면
1.2	841	325	Gulim	최종비밀번호변경일자
1.2	867	325	Gulim	비고
1.2	244	326	Gulim	인수결과통보상태구분
1.2	889	326	Gulim	접근권한코드
1.2	841	326	Gulim	사용시작일자
1.2	867	327	Gulim	최초등록자
1.2	912	327	Gulim	호출커맨드명
1.2	244	327	Gulim	인수결과통보일시
1.2	841	327	Gulim	사용종료일자
